,StudentID,Programme code,Study plan,Description,EC taken,Start Date,Graduation date,MSc duration,thesis_grades,Code ondersch.,Formele omschr.,Pract. Onderzoek & Rapp.,Propedeusethese,Wetens. en Stat. Redeneren,3 Casussen Klin. Neuropsych.,3 Casussen Ontw. psych.,3 casussen Psychodiagn.,3 casussen Psychodiagn. KNP,Actieonderzoek in Organisaties,"Adolescent Development, Psycho",Adv. Study Indiv. Diff.,Adv. Topics Cogn. Neurosc.,Adv. Topics Lang. & Mem.,Adv. Topics in Cogn. Dev.,Adv./Team Dynam. & Perform.,Advanced LISREL,Advanced Programming,Advanced Topics: MOVP,Adviesvaardigheden,Affect/Em.Res: Soc.Nat.Em.,Antisoc Gedr  Kind.&Jeugd.,Appl. Cont. Multivar. An.,Applied Research,Automatic. Cogn. & Gedr.,Automaticity Cogn & Behav.,Bas Princ Stereotyp Discr,Basic Affective Processes,Beoord. & Besliss. in Org.,Beoord. Soc.Competentie,Big Data Analitics and Vis.,Brain Dev. Plast. Repair,Brain Rhythms and Cognition,Brain Rythms and Cognition,Calculus,Coaching,Cog. Model for Cog. Neuro.,Cogn. Neuroscience Aging,Cogn.Electrophys Meth,Cognitie van Meertaligen,Coll. stagebijeenk. KNP,Collect. Masterth.bijeenk.,Collectieve Stagebijeenk.,Colloquia,Colloquia (master),Computational Modeling,Conflict en Coöperatie,Connectionistic Models,Connectionistische Mod. 2,Consc. & Unconsc Proc 1,Creativiteit in Organisaties,"Cult.Psy: Emo, Cult & Lang",Cult.Psy: Migr. & Accult.,Cultuur en gezondheid,Cur.Deb. in Emb. Cognition,Curr. Deb. Cogn./Affect,Curr. Deb. Motiv/Soc.Cogn.,Current Deb. Att/Decis.m,Current Iss. Ch Ad. Dev.,Current deb. Automatic Proc,Current debates Emotion Res.,Current debates Intergrp Rel.,Data-analyse Gezondheidsgedrag,Deception and Lie detection,Des. Tests/Psy Questionn.,Design. Interv/Survey Sch.,Determ. Gezondh.gedr.,Determinanten van Gez.,Dev. Psychopathology,Developmental Neuroscience,Diagn. 2 Ontw.Psych.,Doelen en Verleidingen,Emotional Mem & Psychopat,Emotionele Beïnvloeding,Ev.-based Werken Kl.Prak.,Exp & NeuroSc App in SocPsy,Exp.Ps.path.1:Cogn.Beh.Pr.,Experimental Psychopath.,Explanatory IRT,Fit & Adaptability at work,Flankerend Onderwijs KLOP,Flankerend: Verd. Schoolpsych,Genetic Analysis in Psych,Gez. bevordering Interv.,Gezondheidsbevordering & Inter,Good Research Practices,"Good Science, Bad Science",Grensgebieden vd Kli. Ps.,Group Life:Past Pres Fut.,How Ev. Based are Psy. Tr.,Inl. Sport & Prestatiepsy.,Internal. Stoornissen PAG,Internalis. Stoornissen PAG,Interpersonal Focus on Psychop,Interv. Sport & Prest.Psy,Interv.pr.2 (KLOP): K&J,Interventiepr.2 (OPS): K&J,KFP: Etiologie&Assessment,KFP: Interventies,Keuzeonderwerp Gez.gedr.,Keuzevak Master,Klin. Practicum Leerprobleme,Klin.For.Psy: Ass.& Risico,Klin.For.Psy: Behandeling,Kritisch Denken id Sportpsych.,LISREL,Leadership,Learning & Mot in Psypath,Literatuuropdr. Gezondh. gedr,Literatuuropdracht T&D,MAPS,MI01,MI02,MI03,MI04,Masterstage A&O,Masterstage Bijeenk. G&G,Masterstage Brein & Cognitie,Masterstage Gedr. & Gez.,Masterstage Klin. For.,Masterstage Ontw. Psych.,Masterstage Psy.Methodenl.,Masterstage Sociale Beïnvloe,Masterstage Sociale Psych.,Masterstage Sport & Prestati,Masterstage T&D,Masterthese A&O,Masterthese Brein & Cognitie,Masterthese Gedr. & Gez.,Masterthese Kli. Ontw. Ps.,Masterthese Klin. Neurops.,Masterthese Klin. Psy.,Masterthese Ontw. Psych.,Masterthese Psy Methodenl.,Masterthese Sociale Psych.,Masterthese Sport & P.,Masterthese Training & Devel,Mastertheseconcept A&O,Mastertheseconcept B&C,Mastertheseconcept GG,Mastertheseconcept KLOP,Mastertheseconcept KNP,Mastertheseconcept KP,Mastertheseconcept SP,Mastertheseconcept Sport,Mathematical Statistics,Measurement Invariance,Med. Ps.: Kind./Jongeren,Med. Psy.: Volw/Oud,Meta-Analysis,Methodological Advice,Meting van Attitudes & Gedrag,Model Evaluation,Modellen van Gezondheidsgedrag,Modern Test Theory,"Multilev, Meta-Regr & N=1",Multivariate Analysis,Network Analysis,Network Models,NeuroImaging 1,NeuroImaging: Pattern Analysis,Neuroimaging & Psychopath.,Neurologie,Neurologie / Ziekten vh Zenuw.,Neuropsych. Diagnostiek 2,Neuropsychol. revalidatie,Omgevingspsychologie,Onderz. Sport & Prest.Ps.,Onderz.meth. Gezondheidsgedrag,Onderzoeksm. gez.,Onderzoeksstage KLOP,Onderzoeksstage Klin. Psy.,Ontwerpen,Ontwikk. van Trainingen,Ontwikkelen en Ev. v. Int.,P.INV. K&J2: Interv.pract.,P.INV2: Angst & Depressie,P.INV2: Emoties & Hechting,P.INV2: Medische psychologie,P.INV2: Pers.stoornissen,Person & Organiz. (ResMas),Personality Disorders,Personeelsselectie,Philosophy of Psychology,Pract. Course Bayesian Model.,Pract. Klin.Psychodiagn.,Practicum Sociale Cognitie,Praktijk v Pers.st.,Praktijkstage KLOP,Praktijkstage Klin. Neuro.,Praktijkstage Klin. Psy.,"Prej., Stereot., Int Con",Pro-Social Behavior & Volunt.,Pro-soc. Behav. & Altruism,Progr.sk..: R & Matlab,Progr.skills: Stimulus Present,Programming in Psy. Science,Programming in R,Programming: The Next Step,Pros. gedrag in werkrelat.,Prosoc. Gedr. Organ. (HRM),Ps. Processen Lich. Ziekte,Ps.Interv.2: relatie/gezin,Psy Interv 2:  Basis CGT,Psy. Interventies 2: Volw.,Psy. physiol. Experiment.,Psy.Interv. 2: Med. Psych.,Psych. van de Politiek,Psych.Interv. 2: AngstSt.,Psych.Interv. 2: Erv.Ther.Depr,Psych.Interv. 2: Pers.St.,Psycho-endocrinologie,Psychofarmacologie,Psychology of Migration,Psychometrics,Psychotherapie 2,"Psychs. of Stress, Anxiety",RI01,Recl.VL&Con,Reflectieverslag,Res Master Internship B&C,Res Master's Thesis B&C,Res. Ma. Thesis Proposal,Res. Master Internship CP,Res. Master Internship DP,Res. Master Internship PM,Res. Master Internship SP,Res. Master Internship W&O,Res. Master's Thesis CP,Res. Master's Thesis DP,Res. Master's Thesis PM,Res. Master's Thesis SP,Res. Master's Thesis W&O,Resultaat ResMas >3jr vervalt,Schr./Onderz./An./Pres,Scient. Writing/Presenting,Scriptie A&O Psychologie,Scriptie Klinische Psych.,Scriptie Methodenleer,Scriptie Psychonomie,Scriptie Sociale Psych.,Self-Regulation at Work,Slaap/Waak Stoornissen,Sleep Cognition,Social Decision Making,Sociale Invl. Gez.gedrag,Sociale psych. v. emoties,"Sportpsychologie, verd. 1","Sportpsychologie, verd. 2",Sportpsychologie: focus deelg.,St./Delictgedr: Behand.,St.Delictg.: Ass./Risicot.,Stage A&O Psychologie,Stage Klinische Psych.,Stage Methodologiewinkel,Stage Psychonomie,Statistics 1 (MA 1),Statistics 2 (MA 2),"Stereotypes, Pre. & Discr. X","Stereotypes, Prej & Discr",Stoorn./Delictgedr: Etiol.,Strategic Negotiation,Structural Equation Model.,Structural Equation Modeling 1,Structural Equation Modeling 2,Survey-onderz.n de Soc. Psy.,Surveyonderz.: Ontw./Uitv.,"TSP1:Voorl.,Recl.,Beïnvl.",TSP2: Interventies,"Talent, Expertise & Creat.",Thesebijeenk. Gez.gedr.,Toegep. Cognitieve Psych.,Track Gedrag & Gezondh,Track Klin. For. Psy.,Track Sport/Prestatie,Track Training & Dev,Trainerspract.: Cap. Sel.,Trainerspracticum,Valid. v Meetinstrumenten,Verdieping Schoolpsy.,Verdieping Sport/Prest. Psyc,Verslaving:Th./Behandeling,WG Praktijkstage KLOP,WG Praktijkstage KNP,Werkstuk A&O Psychologie,Werkstuk Klinische Psych.,Werkstuk Methodenleer,Werkstuk Psychonomie,Werkstuk Sociale Psych.,"Wet., Pseudowet., Contr.",Zelfregul.: Grondsl/Toep.,Zelfregulatie Gez.gedrag
228,17519264,4097,409725,M Psychologie,60.0,2010-09-01,2012-08-31,730,8.5,GS,Geslaagd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.0,,,,,,,,,,,,,,,,,,,,,,,
229,17086814,4097,409725,M Psychologie,73.0,2010-09-01,2012-08-31,730,8.5,CL,cum laude,,,,,,,,,,,,,,,9.0,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,8.5,,,,,,,,,,,,,9.0,,,,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,17531474,4097,409725,M Psychologie,60.0,2013-02-01,2014-03-31,423,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,7.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,
231,18157718,4097,409725,M Psychologie,60.0,2012-09-01,2013-08-30,363,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,17417429,4097,409725,M Psychologie,64.0,2010-09-01,2013-07-31,1064,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,7.5,8.0,,,,,,,,,,,,,,,,,,,,,,8.5,
233,17417477,4097,409725,M Psychologie,60.0,2012-02-01,2013-10-31,638,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,7.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,7.5,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
234,17417582,4097,409725,M Psychologie,60.0,2011-09-01,2012-08-31,365,8.0,GS,Geslaagd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
235,17417711,4097,409725,M Psychologie,69.0,2010-09-01,2012-08-31,730,8.5,GS,Geslaagd,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,6.0,,,8.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,18168701,4097,409725,M Psychologie,60.0,2013-02-01,2016-11-21,1389,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,7.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,17883290,4097,409725,M Psychologie,80.0,2011-02-01,2012-10-31,638,9.5,CL,cum laude,,,,,,,,,,,,,,,,6.5,,,,,9.5,,,,,,,,,,,,8.0,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,6.0,,,,,,,,,,10.0,,,,,,,,,,,,9.5,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,17353847,4097,409725,M Psychologie,60.0,2012-09-01,2013-08-30,363,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.5,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
239,17417978,4097,409725,M Psychologie,62.0,2011-02-01,2012-06-29,514,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
240,18163775,4097,409725,M Psychologie,72.0,2013-02-01,2015-07-29,908,8.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,7.0,6.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,16992737,4097,409725,M Psychologie,60.0,2010-09-01,2012-05-31,638,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,7.5,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,6.0,,,,,,,,,,,,,,,,,
242,18135962,4097,409725,M Psychologie,60.0,2014-09-01,2016-01-04,490,7.0,,,,6.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,7.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,17883485,4097,409725,M Psychologie,63.0,2012-02-01,2013-08-30,576,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,6.5,,,,,,,,,,,,,,
244,17883623,4097,409725,M Psychologie,60.0,2012-09-01,2013-08-30,363,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,7.5,,,,,,,,,,,,,,,,,,,,,,,
245,17883647,4097,409725,M Psychologie,60.0,2012-09-01,2014-06-30,667,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,7.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
246,17883728,4097,409725,M Psychologie,66.0,2011-09-01,2014-03-31,942,7.5,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,7.5,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,18114383,4097,409725,M Psychologie,60.0,2012-09-01,2015-12-11,1196,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,17883752,4097,409725,M Psychologie,108.0,2011-02-01,2014-05-30,1214,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,6.0,,,,6.0,,,,,,,,,,,,,,8.5,,,,,,,,,,8.5,,6.5,,,,,,,,,,,,,,8.0,,,,,,,,,6.0,,,,,,,,,,7.0,,,,,,,,,,,,,,7.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,9.0,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,8.0
249,17799230,4097,409725,M Psychologie,60.0,2015-09-01,2016-12-21,477,6.5,,,6.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,6.5,,,,,,,,,6.0,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,17883800,4097,409725,M Psychologie,60.0,2012-09-01,2013-10-31,425,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,8.0,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
251,17418314,4097,409725,M Psychologie,60.0,2010-09-01,2012-03-30,576,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,8.5,
252,16993109,4097,409725,M Psychologie,67.5,2011-02-01,2012-11-30,668,8.5,CL,cum laude,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,8.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,
253,17883881,4097,409725,M Psychologie,63.0,2013-09-01,2015-06-26,663,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,
254,17884019,4097,409725,M Psychologie,125.3,2013-02-01,2016-03-31,1154,16.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,8.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,7.0,,,,,,6.5,,,,,8.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,
